SKU,Vintage,Producer,Vineyard,Designation,Color,Region,Varietal,Intensity,Age,Fruit 1,Fruit 2,Fruit 3,Fruit Character,Non Fruit 1,Non Fruit 2,Non Fruit 3,Non Fruit 4,Earth,Mineral,Wood Character,Tannin,Acid,Alcohol,Body,Texture
131931,2016,Grosset,Springvale,Springvale,White,Australia,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium Plus,Full,Round
143611,2015,Happs,,,White,Australia,Semillon,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium,Medium Plus,Full,Round
141662,1999,Henschke,,Hill of Grace,Red,Australia,Syrah,Medium Plus,Developing,Plum,Blackberry,,Ripe,Black-Pepper,Herbal,Chocolate,Olive,Soil,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
14700,2004,Henschke,,Mount Edelstone,Red,Australia,Syrah,Medium Plus,Youthful,Plum,Blackberry,,Ripe,Black-Pepper,Herbal,Chocolate,Olive,Soil,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
132813,2009,Hundred Acre,,Ancient Way,Red,Australia,Syrah,Medium Plus,Youthful,Plum,Blackberry,,Ripe,Black-Pepper,Herbal,Chocolate,Olive,Soil,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
139974,,Jacob's Creek,,,Red,Australia,Cabernet Sauvignon,Medium,Youthful,,,,,,,,,,,,Medium,Medium,Medium,Full,Round
136635,2014,Kanta by Egon Muller,,,White,Australia,Riesling,Medium Plus,Youthful,,,,,,,,,,,,N/A,Medium Plus,Medium Plus,Full,Round
142982,2016,"McPherson Wine Co,.",MWC,Shiraz Mourvedre,Red,Australia,,Medium Plus,Youthful,,,,,,,,,,,,Medium Plus,Medium,Medium Plus,Full,Round
138689,1992,Penfolds,Bin 707,Bin 707,Red,Australia,Cabernet Sauvignon,Medium Plus,Developing,Black-Cherry,Cassis,Blackberry,Ripe,Meat,Spice,Floral,Chocolate,Soil,Stone,Vanilla,Medium Plus,Medium,Medium,Medium Plus,Round
138689,1992,Penfolds,Bin 707,Bin 707,Red,Australia,Cabernet Sauvignon,Medium Plus,Developing,Black-Cherry,Cassis,Blackberry,Ripe,Meat,Spice,Floral,Chocolate,Soil,Stone,Vanilla,Medium Plus,Medium,Medium,Medium Plus,Round
10340,1996,Penfolds,Bin 707,Bin 707,Red,Australia,Cabernet Sauvignon,Medium Plus,Developing,Black-Cherry,Cassis,Blackberry,Ripe,Meat,Spice,Floral,Chocolate,Soil,Stone,Vanilla,Medium Plus,Medium,Medium,Medium Plus,Round
140981,2004,Penfolds,,Kalimna Block 42,Red,Australia,Cabernet Sauvignon,Medium Plus,Youthful,Black-Cherry,Cassis,Blackberry,Ripe,Meat,Spice,Floral,Chocolate,,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
42826,2005,Penfolds,,Bin 707,Red,Australia,Cabernet Sauvignon,Medium Plus,Youthful,Black-Cherry,Cassis,Blackberry,Ripe,Meat,Spice,Floral,Chocolate,,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
42826,2005,Penfolds,,Bin 707,Red,Australia,Syrah,Medium Plus,Youthful,Black-Cherry,Cassis,Blackberry,Ripe,Meat,Spice,Floral,Chocolate,,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
10004,1971,Penfolds,,,Red,Australia,Syrah,Medium,Mature,Blackberry,Plum,Black-Cherry,Fresh,Menthol,Spice,Chocolate,Leather,Soil,Stone,Smoke,Medium,Medium,Medium,Medium Plus,Round
52066,1981,Penfolds,,,Red,Australia,Syrah,Medium,Mature,Blackberry,Plum,Black-Cherry,Fresh,Menthol,Spice,Chocolate,Leather,Soil,Stone,Smoke,Medium,Medium,Medium,Medium Plus,Round
34010,1997,Penfolds,,,Red,Australia,Syrah,Medium Plus,Developing,Blackberry,Plum,Black-Cherry,Ripe,Menthol,Spice,Chocolate,Leather,Soil,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
2139,1998,Penfolds,,,Red,Australia,Syrah,Medium Plus,Developing,Blackberry,Plum,Black-Cherry,Ripe,Menthol,Spice,Chocolate,Leather,Soil,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
2139,1998,Penfolds,,,Red,Australia,Syrah,Medium Plus,Developing,Blackberry,Plum,Black-Cherry,Ripe,Menthol,Spice,Chocolate,Leather,Soil,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
36417,2001,Penfolds,,,Red,Australia,Syrah,Medium Plus,Youthful,Blackberry,Plum,Black-Cherry,Ripe,Menthol,Spice,Chocolate,Leather,,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
125529,2004,Penfolds,,,Red,Australia,Syrah,Medium Plus,Youthful,Blackberry,Plum,Black-Cherry,Ripe,Menthol,Spice,Chocolate,Leather,,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
45449,2005,Penfolds,,,Red,Australia,Syrah,Medium Plus,Youthful,Blackberry,Plum,Black-Cherry,Ripe,Menthol,Spice,Chocolate,Leather,,Stone,Vanilla,Medium Plus,Medium,Medium Plus,Full,Round
134856,1990,Penfolds,,Bin 90A,Red,Australia,Cabernet Sauvignon Based Blend,Medium Plus,Mature,Black-Cherry,Cassis,Blackberry,Ripe,Meat,Spice,Floral,Chocolate,Soil,Stone,Vanilla,Medium,Medium,Medium,Medium Plus,Round
